From	To
Q9Y5Q8	GTF3C5
Q9Y5S1	TRPV2
Q9Y5S2	CDC42BPB
Q9Y5S9	RBM8A
Q9Y5U2	TSSC4
Q9Y5U9	IER3IP1
Q9Y5X1	SNX9
Q9Y5X2	SNX8
Q9Y5X3	SNX5
Q9Y5Y2	NUBP2
Q9Y5Y5	PEX16
Q9Y5Z4	HEBP2
Q9Y5Z7	HCFC2
Q9Y606	PUS1
Q9Y608	LRRFIP2
Q9Y613	FHOD1
Q9Y618	NCOR2
Q9Y623	MYH4
Q9Y624	F11R
Q9Y678	COPG1
Q9Y679	AUP1
Q9Y696	CLIC4
Q9Y6A4	CFAP20
Q9Y6A5	TACC3
Q9Y6B6	SAR1B
Q9Y6B7	AP4B1
Q9Y6C9	MTCH2
Q9Y6D5	ARFGEF2
Q9Y6D6	ARFGEF1
Q9Y6D9	MAD1L1
Q9Y6E0	STK24
Q9Y6E2	BZW2
Q9Y6F6	IRAG1
Q9Y6G9	DYNC1LI1
Q9Y6I3	EPN1
Q9Y6I9	TEX264
Q9Y6K5	OAS3
Q9Y6K9	IKBKG
Q9Y6N5	SQOR
Q9Y6N8	CDH10
Q9Y6W5	WASF2
Q9Y6X4	FAM169A
Q9Y6X5	ENPP4
Q9Y6Y8	SEC23IP
R4GMU1	H6PD
R4GMX3	COMMD3-BMI1
R4GMX8	RANBP10
R4GN18	CD46
R4GN35	DENND4C
S4R3M1	DUSP22
S4R3N1	HSPE1-MOB4
S4R435	RPS10-NUDT3
U3KPS2	PRTN3
U3KQ56	GRHPR
U3KQB3	CSNK1G1
U3KQE2	CAPNS1
V9GYM3	APOA2
V9GYM8	ARHGEF2
V9GYS0	TIMM17B
V9GZ56	LSM4
X5CMH5	TAP2
X6R3L3	MOB3C
X6R3N0	SLC27A3
X6R4W8	ZNF207
X6R8A1	CTSA
X6R8F3	LCN2
X6RAL5	SAP18
X6RLX0	ERC1
